Mayor65Anos,Conyuge,Dependientes,MesesDeContrato,TelefonoFijo,VariasLineasTelefonicas,ServicioDeInternet,SeguridadOnline,BackupOnline,SeguroEnDispositivo,SoporteTecnico,TVaCable,StreamingDePeliculas,TipoDeContrato,PagoOnline,FormaDePago,CuentaMensual,Churn
0,Si,No,1,No,SinServicioTelefonico,DSL,No,Si,No,No,No,No,Mensual,Si,ChequeDigital,29.85,No
0,No,No,34,Si,No,DSL,Si,No,Si,No,No,No,Anual,No,ChequePapel,56.95,No
0,No,No,2,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,ChequePapel,53.85,Si
0,No,No,45,No,SinServicioTelefonico,DSL,Si,No,Si,Si,No,No,Anual,No,DebitoAutomatico,42.3,No
0,No,No,2,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,70.7,Si
0,No,No,8,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,ChequeDigital,99.65,Si
0,No,Si,22,Si,Si,FibraOptica,No,Si,No,No,Si,No,Mensual,Si,TarjetaDeCredito,89.1,No
0,No,No,10,No,SinServicioTelefonico,DSL,Si,No,No,No,No,No,Mensual,No,ChequePapel,29.75,No
0,Si,No,28,Si,Si,FibraOptica,No,No,Si,Si,Si,Si,Mensual,Si,ChequeDigital,104.8,Si
0,No,Si,62,Si,No,DSL,Si,Si,No,No,No,No,Anual,No,DebitoAutomatico,56.15,No
0,Si,Si,13,Si,No,DSL,Si,No,No,No,No,No,Mensual,Si,ChequePapel,49.95,No
0,No,No,16,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,TarjetaDeCredito,18.95,No
0,Si,No,58,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Anual,No,TarjetaDeCredito,100.35,No
0,No,No,49,Si,Si,FibraOptica,No,Si,Si,No,Si,Si,Mensual,Si,DebitoAutomatico,103.7,Si
0,No,No,25,Si,No,FibraOptica,Si,No,Si,Si,Si,Si,Mensual,Si,ChequeDigital,105.5,No
0,Si,Si,69,Si,Si,FibraOptica,Si,Si,Si,Si,Si,Si,Bienal,No,TarjetaDeCredito,113.25,No
0,No,No,52,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,ChequePapel,20.65,No
0,No,Si,71,Si,Si,FibraOptica,Si,No,Si,No,Si,Si,Bienal,No,DebitoAutomatico,106.7,No
0,Si,Si,10,Si,No,DSL,No,No,Si,Si,No,No,Mensual,No,TarjetaDeCredito,55.2,Si
0,No,No,21,Si,No,FibraOptica,No,Si,Si,No,No,Si,Mensual,Si,ChequeDigital,90.05,No
1,No,No,1,No,SinServicioTelefonico,DSL,No,No,Si,No,No,Si,Mensual,Si,ChequeDigital,39.65,Si
0,Si,No,12,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,DebitoAutomatico,19.8,No
0,No,No,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,20.15,Si
0,Si,No,58,Si,Si,DSL,No,Si,No,Si,No,No,Bienal,Si,TarjetaDeCredito,59.9,No
